"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Ananthapuram","hbsag",8.2,2.1,82.1,9.2,1.6,92,0.00039
"Ananthapuram","hiv",6.8,1.8,67.7,8,1.5,80,1e-06
"Ananthapuram","pprom",6.6,1.7,66.2,7.5,1.4,75.1,9.5e-05
"Ananthapuram","pt",7.4,2.7,74.2,8.3,2.2,83,0.015765
"Ananthapuram","rfm",6.1,2,61.2,6.8,1.4,68.3,0.00674
"Ananthapuram","rh",7.4,2.6,74.1,8.6,2.2,85.7,0.001237
"Ananthapuram","teen",6.9,2.3,68.7,7.9,1.8,79.1,0.000818
"Bapatla","hbsag",8.9,1.4,88.5,9.4,1.6,93.8,0.052282
"Bapatla","hiv",7.3,1.8,72.6,8.5,1.6,84.8,0.000117
"Bapatla","pprom",7.1,1.8,70.6,8.2,1.6,82,0.000253
"Bapatla","pt",8.5,1.9,85.4,9.2,2,91.8,0.082359
"Bapatla","rfm",6.9,1.6,68.9,7.2,1.2,72.3,0.16963
"Bapatla","rh",8.3,1.9,82.7,9.2,1.4,92,0.002269
"Bapatla","teen",7.6,1.7,76.4,9.1,1.5,90.8,4e-06
"Chittoor","hbsag",8.5,2.3,84.5,8.6,1.9,86.2,0.720263
"Chittoor","hiv",6.9,2.4,69.3,7.5,1.6,75.5,0.159913
"Chittoor","pprom",7,2.3,69.5,7.5,1.8,74.5,0.273748
"Chittoor","pt",7.9,2.5,78.6,8.5,2,85.5,0.162798
"Chittoor","rfm",6.7,2.2,67.1,6.6,1.8,66,0.784025
"Chittoor","rh",8,2.4,79.8,8.2,2.1,81.9,0.660731
"Chittoor","teen",7.3,2.4,72.6,7.6,1.7,76.2,0.432063
"East Godavari","hbsag",8.4,1.6,84.1,9.6,1.4,95.9,7.8e-05
"East Godavari","hiv",7.1,1.9,70.5,8.7,1.1,87.5,0
"East Godavari","pprom",6.8,1.7,68.1,9.1,1.5,90.5,0
"East Godavari","pt",8,2.1,80,9.8,0.8,97.7,0
"East Godavari","rfm",6.6,1.7,65.9,6.9,1,69.3,0.196305
"East Godavari","rh",7.8,2,77.7,9.7,1.2,96.7,0
"East Godavari","teen",7.3,2.1,72.6,9.4,1.2,94.2,0
"Eluru","hbsag",9,0.9,90,8.9,0.9,89.4,0.785284
"Eluru","hiv",7.9,1.4,79.2,8.4,1,84.5,0.054735
"Eluru","pprom",7.1,1.6,71,8.1,1.5,81,0.004635
"Eluru","pt",8.9,1.9,88.8,9.3,1.3,92.9,0.371987
